City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,merced,37.1666,-120.7516,35.03000000000003,24,0,3.52,US,1717787756
67,aoulef,26.9667,1.0833,39.960000000000036,8,0,2.41,DZ,1717787756
68,fort mcmurray,56.7268,-111.381,2.7700000000000387,93,100,6.69,CA,1717787562
69,wusterhausen,52.8912,12.4602,14.129999999999995,70,54,2.81,DE,1717787756
70,tiksi,71.6872,128.8694,4.160000000000025,68,0,2.15,RU,1717787756
71,yellowknife,62.456,-114.3525,8.560000000000002,81,100,8.23,CA,1717787756
72,gilgit,35.9221,74.3087,15.629999999999995,66,100,0.39,PK,1717787756
73,'ain benian,36.8028,2.9219,37.03000000000003,50,19,9.35,DZ,1717787756
74,tura,25.5198,90.2201,24.5,90,0,3.52,IN,1717787756
75,west island,-12.1568,96.8225,26.99000000000001,83,40,2.57,CC,1717787757
76,sibolga,1.7427,98.7792,25.560000000000002,90,100,0.78,ID,1717787757
77,slave lake,55.2834,-114.769,12.990000000000009,62,100,7.72,CA,1717787718
78,saipan,15.1355,145.701,28.390000000000043,78,40,5.14,MP,1717787757
79,benguela,-12.5763,13.4055,21.189999999999998,86,48,0.69,AO,1717787757
80,utrik,11.2278,169.8474,27.83000000000004,82,94,7.93,MH,1717787757
81,port mathurin,-19.6833,63.4167,23.660000000000025,76,10,10.0,MU,1717787757
82,hawaiian paradise park,19.5933,-154.9731,25.730000000000018,79,100,0.45,US,1717787758
83,nayoro,44.3506,142.4578,11.100000000000023,98,100,1.28,JP,1717787758
84,salinas,36.6777,-121.6555,25.860000000000014,73,20,5.66,US,1717787696
85,carbonear,47.7332,-53.2148,16.910000000000025,86,100,1.13,CA,1717787758
86,fale old settlement,-9.3852,-171.2468,28.590000000000032,77,41,4.47,TK,1717787758
87,bozdar wada,27.1828,68.636,35.32000000000005,25,97,7.6,PK,1717787758
88,margaret river,-33.95,115.0667,14.129999999999995,66,100,3.24,AU,1717787758
89,udachny,66.4167,112.4,11.360000000000014,50,100,3.77,RU,1717787758
90,coari,-4.085,-63.1414,29.480000000000018,67,100,0.25,BR,1717787758
91,nanpiao,41.0982,120.7479,15.420000000000016,96,100,1.94,CN,1717787759
92,kristiansund,63.1115,7.732,14.03000000000003,69,0,4.63,NO,1717787759
93,hammerfest,70.6634,23.6821,9.25,87,75,4.12,NO,1717787759
94,ibarreta,-25.2144,-59.8585,32.170000000000016,28,16,4.22,AR,1717787759
95,hermanus,-34.4187,19.2345,10.450000000000045,75,2,4.62,ZA,1717787759
96,kifri,34.6959,44.9661,36.900000000000034,13,0,3.43,IQ,1717787759
97,constantia,44.1833,28.65,20.390000000000043,71,0,4.45,RO,1717787759
98,meulaboh,4.1363,96.1285,25.390000000000043,90,100,1.56,ID,1717787760
99,byron bay,-28.65,153.6167,10.390000000000043,74,0,4.09,AU,1717787760
